Слово,Сумма_слов
прекрасно,24
микропрепарат,24
Урука,24
чрезвычайно,24
окрылить,24
праведник,24
дневный,24
бега,24
бактериальный,24
кальций,23
навуходоносор,23
сверлильный,23
многобуйный,23
советник-брахман,23
совместно,23
клисфен,23
деспотия,23
зиккурат,23
сокращённо,23
скитаться,23
приближённо,23
настолько,23
израильский,23
святилище,23
надёжно,23
апеннинский,23
насколько,23
Газа,23
кровавый,23
резко,23
раздельно,23
оросительный,23
микрокалькулятор,23
диалект,23
мимо,23
немедленно,22
иносказательный,22
стойко,22
запереть,22
святость,22
языкознание,22
жестоко,22
Арктика,22
дерзко,22
нравственность,22
внезапно,22
следом,22
тутмоса,22
вольноотпущенник,22
столь,22
ризоид,22
образно,22
минотавр,22
минос,22
минойский,22
ханумать,22
саркофаг,22
познать,22
регулярно,22
легковооружённый,22
рамсес,22
прочно,22
эллинизм,21
линный,21
Ростов,21
посреди,21
весьма,21
заряд,21
радостно,21
непрерывно,21
независимо,21
тайно,21
незадолго,21
учёный-биолог,21
поверх,21
сверхъестественный,21
Ленинград,21
колонизовать,21
восемнадцатилетний,21
отныне,21
подавить,21
Колизей,21
триумф,21
Уран,21
Британия,21
берест,21
приговор,21
церковнославянский,21
приблизить,21
хромосома,21
надел,21
свыше,21
орфоэпия,21
осадный,21
сразить,21
должник,21
стремительно,21
целлюлоза,20
мыслитель,20
внизу,20
Нива,20
противолежащий,20
разгневаться,20
австралопитек,20
внутрь,20
алариха,20
превосходить,20
существенно,20
цианобактерия,20
Энея,20
Причерноморье,20
Ганг,20
аттика,20
коротко,20
гиппократ,20
раб-чужеземец,20
тяжеловооружённый,20
фотосинтезирующий,20
погребение,20
равносильность,20
наследственность,20
сложно,20
наверняка,20
военнопленный,20
капитолий,20
лакирование,20
прозаический,20
кодон,20
грамматически,20
Ярославль,20
спартанка,19
абсолютно,19
малоземелье,19
мятеж,19
междоусобный,19
писистрата,19
линза,19
нуклеиновый,19
саламинский,19
вечером,19
юго-восточный,19
Иран,19
признание,19
деяние,19
напротив,19
СССР,19
пожаловать ,19
гриб-паразит,19
пирром,19
Казань,19
хеопёс,19
сосредоточить,19
выразительно,19
благоверный,19
ослабить,19
красиво,19
генетический,19
непереходный,19
радиоактивный,19
отчётливый,18
оттуда,18
терпимость,18
пласть,18
Христос,18
кулачный,18
низко,18
генетика,18
невольник,18
носка,18
веда,18
слегка,18
всяческий,18
нубиец,18
скупать,18
аккуратно,18
галльский,18
исключительно,18
истинностный,18
вкладыш,18
сейсмический,18
тутмос,18
винтовой,18
тяжело,18
разграбить,18
легионер-варвар,18
чертилка,18
Великобритания,18
приковать,18
мысленно,18
колодка,18
обличать,18
мужественно,18
архонт,18
несправедливость,18
просуществовать,18
неоднократно,18
экслибрис,18
вообразимый,18
тетраэдр,18
кровотечение,18
сообща,17
лексикология,17
преторианец,17
шифровальный,17
прихоть,17
индикатор,17
хламидомонада,17
Нева,17
насильно,17
возлюбить,17
Дон,17
многократно,17
брахман,17
систематик,17
культ,17
добровольно,17
вертикально,17
неразрывно,17
плюс,17
вполне,17
мукор,17
захватнический,17
Нептун,17
диффузия,17
нумитор,17
вовремя,17
коринфский,17
вовсе,17
тридцатый,17
пинта,17
марсовый,17
Марий,17
помолиться,17
триумвират,17
смело,17
шестой,17
состоятельный,17
совмещаться,17
задолго,17
посередине,17
метаморфический,17
предположим,16
Дельфы,16
тирания,16
кумрана,16
вершить,16
кверху,16
патриотизм,16
физически,16
распятие,16
палатин,16
Златоуст,16
сравнительно,16
Украина,16
горький,16
отлично,16
красновато-жёлтый,16
позади,16
Бородино,16
лаконик,16
фалерсковать,16
гук,16
каменоломня,16
жарко,16
рубикон,16
табличный,16
нововавилонский,16
присваивать,16
честно,16
Везувий,16
получеловек-полузмей,16
покаяние,16
магистрат,16
гефест,16
гномон,16
страшно,16
всё-таки,16
соплеменник,16
Тверь,16
сатрап,16
благовоние,16
Гималаи,16
географ-следопыт,16
хроматофор,16
дорого,16
равносоставить,16
диктатура,16
бесконечно,16
преемник,16
дуэль,16
быстролётный,16
штативный,16
желтовато-бурый,16
холодно,16
каин,16
равномерно,16
расплавить,16
расправиться,15
взамен,15
центурия,15
превосходство,15
непременно,15
Родос,15
контрпример,15
тиран,15
аристократический,15
Византия,15
Псков,15
посланник,15
диалектный,15
естественно,15
желательно,15
упомянуть,15
сатир,15
пергамский,15
предвидеть,15
выгодно,15
колесничий,15
единовластие,15
натрий,15
древнеиндийский,15
Крым,15
изредка,15
флоэма,15
позорный,15
проповедник,15
перегноить,15
покориться,15
оправдание,15
вне,15
фермопильский,15
антонимический,15
грек-ахеец,15
Библия,15
одобрение,15
трахеида,15
многодневный,15
нуклеотид,15
таран,15
истинно,15
слабо,15
выживание,15
хапеть,15
биос,15
стыдно,15
включая,15
хетт,15
пустеть,15
твёрдость-мягкость,15
паразитический,15
митридата,15
мессия,15
подговорить,15
необыкновенно,15
неласковый,15
вводить ,15
самопересечение,15
бегло,14
северо-западный,14
северо-запад,14
ламинария,14
безземельный,14
переворот,14
италик,14
эфес,14
бора,14
месопотамия,14
межклеточный,14
индуизм,14
плутовать,14
прямоходящий,14
иштара,14
вайя,14
фитофтора,14
господень,14
усердно,14
ирония,14
озоновый,14
проступок,14
замуж,14
кондак,14
лишаться,14
эпос,14
Феодосия,14
скитание,14
затранскрибировать,14
заметно,14
умело,14
подоспеть,14
гаутама,14
акведук,14
Ангара,14
Амур,14
пеницилл,14
встревожиться,14
стекаться,14
шлиман,14
привычно,14
слитно,14
вдвое,14
ареопаг,14
издали,14
раздор,14
магний,14
Шотландия,14
мореплавание,14
демон,14
благочестивый,14
отеческий,14
ничтожно,14
текст-описание,14
папоротниковидный,14
ферзь,14
иверский,14
шрам,14
полно,14
кносский,14
сработать,14
включительно,14
яхв,14
обидчик,14
караться,13
саблезубый,13
вручную,13
еси,13
сапротрофа,13
разумно,13
блуждать,13
научно-популярный,13
штраф,13
вплоть,13
капитолийский,13
наглядно,13
неимущий,13
отрубить,13
единобожие,13
труп,13
внешне,13
расступаться,13
ростр,13
некогда,13
персефон,13
эрозия,13
микробиология,13
похороны,13
поцеловать,13
холера,13
язва,13
коловорот,13
пантикапить,13
материковый,13
мидиец,13
упорно,13
Рейн,13
колонист,13
овладевать,13
носилки,13
Херонея,13
сутолока,13
Аравия,13
нубия,13
воскресать,13
подразделение,13
ашшурбанапать,13
мишка,13
алхимик,13
словесность,13
жрица,13
телесный,13
туллий,13
автоматически,13
двунадесятый,13
филолог,13
прорваться,13
пыльцевой,13
комбинаторный,13
вдогонку,13
семязачаток,13
сгусток,13
израильтянин,13
превзойти,13
жгутиковый,13
образцовый,13
светло,13
Янцзы,13
исповедь,13
нелегко,13
ненадолго,13
больно,13
предпринять,13
разносклоняемый,13
родич,13
коли,13
поднебесный,13
пришествие,13
понтифик,13
метрополия,12
сходка,12
крестить,12
публицистический,12
враждебный,12
гиф,12
белые,12
заковывать,12
запретный,12
шампольон,12
заболотить,12
заросток,12
благоприятствовать,12
крёстный,12
ксеркса,12
тварь,12
смирение,12
отделиться,12
цитология,12
соправитель,12
гинкго,12
македонец,12
плавно,12
бог-покровитель,12
схематически,12
полуокружность,12
поначалу,12
клубеньковый,12
вдаль,12
португальский,12
деметр,12
Миссисипи,12
Тиринф,12
вступаться,12
накипной,12
опустынивание,12
шудра,12
милосердный,12
дикарь,12
слоган,12
ксилема,12
мушкетёр,12
издалёка,12
изобразительно-выразительный,12
эйлера-венный,12
изнутри,12
палка-копалка,12
растерзать,12
хлорелла,12
листостебельный,12
вечеря,12
напрячь,12
литосферный,12
неравномерно,12
печёночный,12
колон,12
листоватый,12
дурно,12
исторически,12
Пирра,12
вымышленный,12
испытуемый,12
Кура,12
приятно,12
лапландский,12
искусно,12
мужчина-спартанец,12
судоходство,12
пред,12
восьмой,12
сближать,12
взимать,12
принцепс,12
нездоровиться,12
неофициальный,12
производный,12
активизировать,12
виноделие,12
неолитический,12
незнайка,12
сослагательный,12
просветитель,12
даром,12
твёрдо,12
опубликовать,12
чудовище-ракшас,12
подвергнуть,12
окисление,12
нирвана,12
теоретический,12
причащение,12
напрасно,12
знобить,12
лишать,12
духовно-нравственный,12
систематический,12
верхом,12
тутанхамон,11
ковчег,11
отпить,11
настежь,11
беспрекословно,11
отрабатывать,11
вопросный,11
тростниковый,11
крестный,11
расчленить,11
волочь,11
туго,11
благодеяние,11
риторический,11
восставать,11
ритуал,11
Назарет,11
наравне,11
хордовый,11
парфенос,11
электроника,11
зачастую,11
Берлин,11
подозвать,11
двудольный,11
живить,11
гринвичский,11
подолгу,11
нивелир,11
мицелий,11
новобранец,11
гетеротроф,11
митохондрия,11
сперва,11
проскрипция,11
излагаться,11
издревле,11
полифем,11
вест,11
молекула-инструмент,11
спасибо,11
пешка,11
вето,11
Терек,11
мгновенно,11
цензор,11
голиаф,11
юго-восток,11
сущность,11
антропогенный,11
цивилизовать,11
эукариот,11
микология,11
Смоленск,11
гифа,11
содеять,11
малоазийский,11
америго,11
сплотить,11
зарница,11
тайком,11
замужество,11
глухость-звонкость,11
обвинение,11
вглубь,11
жрец-авгур,11
мурашка,11
незнатный,11
аккадский,11
отстранить,11
перенесение,11
ласково,11
разориться,11
визирование,11
начистить,11
переправляться,11
недолго,11
незаметно,11
боговоплощение,11
приверженец,11
сочельник,11
тотчас,11
кшатрий,11
побеседовать,11
невозвратный,11
разъедать,11
шерстистый,11
Гренландия,11
трижды,11
триер,11
херсонести,11
опасно,11
разметочный,11
периодически,11
повсеместно,11
Эверест,11
святитель,11
фоновый,11
фактически,11
крон,11
распрямиться,11
тонирование,11
кризис,10
бузина,10
Тора,10
усердие,10
Ока,10
вдова,10
внутриорганизменный,10
ваз,10
мигом,10
автобиография,10
увлажнять,10
бумеранг,10
бурятский,10
буквально,10
вверху,10
уезд,10
Плутон,10
шерхебель,10
усыпать,10
ультразвук,10
разветвить,10
мужаться,10
яко,10
ликтор,10
ликование,10
крайне,10
летка,10
осуждение,10
сплошь,10
косарь,10
магнат,10
великан-циклоп,10
продуктивный,10
устаревать,10
пытка,10
дополнительно,10
ведомство,10
Сиена,10
подлежать,10
разбавить,10
донный,10
Синайский,10
равносильный,10
никак,10
дистилляция,10
сколотить,10
ростовщик,10
посредством,10
врать,10
нивелирование,10
предпринимать,10
жаль,10
чандрагупт,10
сретение,10
неклеточный,10
всесильный,10
предыстория,10
старательно,10
насмехаться,10
необычайно,10
парфеноне,10
восточноевропейский,10
постыдно,10
предписывать,10
аристофан,10
неотрицательный,10
имущественный,10
хитон,10
засадить,10
пафос,10
оттеснить,10
запутать,10
самовоспитание,10
самнитский,10
саморез,10
фракиец,10
выбрить,10
хронологический,10
кернер,10
полумесяц,10
неизбежно,10
эпицентр,10
пифос,10
степ,10
патрицианский,10
порождать,10
пороть,10
скрижаль,10
итака,10
выпаривание,10
снедь,10
намереваться,10
здорово,10
рейсмус,10
оковать,10
зуботычина,10
пароним,10
конфуцианство,10
воспитываться,10
совпадение,10
зороастризм,10
перевозчик,10
обнищать,10
республиканец,10
иерихон,10
нанять,10
погребальный,10
шпиндель,10
грамотно,10
юго-западный,10
пленница-рабыня,10
вышвыривать,10
вычёркивать,10
четверичный,10
актиний,10
понемногу,10
Рей,9
атрий,9
сбоку,9
хронология,9
скрестить,9
весть,9
синухета,9
кандалы,9
монашество,9
сириец,9
серить,9
простоквашин,9
дружно,9
подогнуть,9
исцеление,9
Астрахань,9
Владивосток,9
безошибочно,9
грехопадение,9
чернильница,9
десятитысячный,9
щедро,9
социально-экономический,9
гидра,9
дискобол,9
плебейский,9
спереди,9
самоцветик,9
отвергнуть,9
ранг,9
ячменный,9
женитьба,9
сансевиерия,9
выдвинуться,9
техногенный,9
спас,9
моховидный,9
выпороть,9
солёность,9
неудобно,9
бренна,9
остро,9
солоно,9
темно,9
беглец,9
объяснимый,9
драконт,9
неподвижно,9
званый,9
Бог,9
высветить,9
изначально,9
пожалуйста,9
утнапиштить,9
эволюция,9
Португалия,9
оглушать,9
Равенна,9
Воронеж,9
элата,9
срочно,9
сверхъяркий,9
рабский,9
Вологда,9
оптика,9
багрянка,9
видимо,9
мудрёный,9
непринуждённый,9
пожизненно,9
венгерский,9
неуверенность,9
хоругвь,9
экологически,9
вьючный,9
временами,9
смертельно,9
увенчать,9
бизоновый,9
пергам,9
благословенный,9
бесправный,9
помои,9
крепко,9
Обь,9
законодатель,9
рассечь,9
Коран,9
агар-агар,9
замедлять,9
сопутствовать,9
Сцилла,9
счастливо,9
воровство,9
стилистический,9
Фабия,9
клеветать,9
противиться,9
повстанец,9
туника,9
поглощение,9
принципиальный,9
гупт,9
сынов,9
воздержание,9
псарня,9
переходность,9
задача-исследование,9
эталонный,9
органоид,9
возвратить,9
поодиночке,9
автотроф,9
цивилизованный,9
Урал-Батыр,9
махабхарат,9
красть,9
трутовик,9
вайшья,9
орхестра,9
гон,9
дерзость,9
организменный,9
становление,9
благовестие,9
меловой,9
погружение,9
всухомятку,9
заплатать,9
богато,9
Мемфис,9
вдобавок,9
картографический,9
греко-римский,9
Минос,9
кульминация,9
повиноваться,9
наверху,9
спешно,9
прочь,9
явно,9
слуга-бедняк,9
дальномер,9
чужеземный,9
отчитываться,9
шлемоблистать,9
освятить,9
капилляр,9
симбиотический,8
гордо,8
оправдать,8
Тула,8
неужели,8
потихоньку,8
пирров,8
пропитать,8
Сардиния,8
собственник,8
территориальный,8
горько,8
юго-запад,8
гадать,8
урука,8
орнитолог,8
символьный,8
староста,8
обнаружиться,8
обогащение,8
апис,8
улотрикс,8
переименовать,8
урок-обобщение,8
Танграм,8
Сиракуза,8
замыслить,8
досыта,8
рабовладелец,8
обвить,8
Аляска,8
грешник,8
гетеротрофный,8
созвать,8
умножиться,8
доядерный,8
сурово,8
послушание,8
Алтай,8
скребок,8
мичман,8
частично,8
греховный,8
заратуштра,8
слесарить,8
простодушный,8
сладко,8
порфир,8
шамаш,8
максимально,8
миноец,8
спектр,8
специфический,8
скучиться,8
чудом,8
Сочи,8
скифский,8
облицевать,8
гвардия,8
упрекать,8
парфянский,8
матрица,8
постфикс,8
электровыжигатель,8
гарвеять,8
бурно,8
понтийский,8
гарпун,8
Сет,8
метеорный,8
переходящий,8
вероятный,8
Балканы,8
обстоять,8
головня,8
жизненно,8
сколь,8
пересыхание,8
обет,8
осложнить,8
залог,8
устрашать,8
облагать,8
заучивание,8
законодательство,8
прошагать,8
учёный-историк,8
приверженный,8
вкусно,8
Иркут,8
привилегия,8
кумир,8
односоставной,8
каменноугольный,8
богочеловек,8
приписывание,8
негодование,8
Нерль,8
надолго,8
фразеология,8
каракалла,8
карать,8
угождать,8
повергнуть,8
риччий,8
довершить,8
односторонний,8
Перу,8
удвоить,8
незащищённый,8
риниофит,8
разумеется,8
винодел,8
свататься,8
бешено,8
подкупать,8
муция,8
Иверскай,8
воспрянуть,8
недоумение,8
казначей,8
мучнистый,8
удачно,8
Иерихон,8
кадь,8
сатрапия,8
агамемнон,8
всесторонне,8
румянеть,8
кромешный,8
рукопашный,8
навьючить,8
вплотную,8
языковый,8
штурмовой,8
Кострома,8
флексагон,8
вселенский,8
Новосибирск,8
вряд,8
Ольвия,8
шестнадцатеричный,8
угнать,8
евангельский,8
приезжий,8
катакомба,8
Калуга,8
угнетать,8
сабинянин,8
рядовой,8
фабра,8
кассия,8
вникать,8
наверх,8
повиновение,8
поджаривать,8
отстроить,8
нарочно,8
авгур,8
удильщик,8
нерудный,8
изобиловать,8
непревзойдённый,8
поистине,8
сделка,8
Вифлеем,8
эгей,8
Голландия,8
превосходящий,8
литератор,8
пребыть,8
морилка,8
монологический,8
фемисточь,8
непросто,8
изведать,8
лилия,8
неприличный,8
почкование,8
шлифование,8
семитский,8
уклоняться,8
древневосточный,8
извне,8
высокоорганизованный,8
монотеизм,8
погрести,8
решительно,8
безжалостно,8
женщина-рабыня,8
шпиндельный,8
Рязань,8
ирригация,8
бездомный,8
покаянный,8
инфузория,8
разноспрягаемый,8
аккадец,8
знамение,8
песчаник,8
похваляться,8
лично,8
позабавить,8
несложно,8
сидя,8
светло-зелёный,8
воскресить,8
пожирать,8
Дания,8
свёкор,8
предельно,8
хитин,8
поликгод,8
сошествие,8
неохотно,8
предальпийский,8
леди,8
мстить,8
уединяться,8
предписываться,8
возносить,8
ворсинка,8
литургия,8
сокращать,"7,12"
налагать,7
нагрузить,7
образованность,7
спиртной,7
наследовать,7
обретение,7
метатель,7
чибис,7
статистический,7
процентный,7
напечь,7
перерождение,7
философский,7
благотворительность,7
благотворительный,7
окаменеть,7
дождемер,7
центурион,7
приставлять,7
пристально,7
бессоюзный,7
принципат,7
ярмо,7
аргинин,7
антиохнуть,7
невский,7
постановить,7
мощёный,7
опровержение,7
предисловие,7
опровергать,7
борщевик,7
предаваться,7
прокатка,7
чудесно,7
бегом,7
неясный,7
необязательно,7
периэк,7
доброжелательный,7
немыслимый,7
положительно,7
донский,7
ухватиться,7
потрясение,7
алеф,7
почитай,7
несоседний,7
прародина,7
уступка,7
полисный,7
боёк,7
бремя,7
монограмма,7
стела,7
обточить,7
обездолить,7
микрон,7
провинциал,7
научно-учебный,7
царь-колокол,7
покровский,7
породниться,7
чуждый,7
мидийский,7
наставить,7
обидно,7
блистательный,7
оледенение,7
Устюг,7
безумный,7
приближать,7
станина,7
номерок,7
нежно,7
мученик,7
мутно-зелёный,7
препаровальный,7
подчас,7
фукидид,7
нумидия,7
небрежный,7
невежественный,7
невольно,7
доверчивость,7
фермопить,7
кровный,7
критик,7
крестик-нолик,7
увековечить,7
уважительно,7
жизнеспособность,7
убедительно,7
властелин,7
Петербургский,7
раскапывать,7
заручиться,7
уговорить,7
плазмодий,7
воинство,7
регулировочный,7
копьеносец,7
редукционный,7
конферансье,7
Муром,7
рашпиль,7
возделать,7
духовно,7
затруднить,7
тёмно-зелёный,7
возомнить,7
возродить,7
вкладчик,7
лидийский,7
раздача,7
двойственный,7
остракизм,7
сёрфинг,7
драхма,7
заклёпочный,7
заколоть,7
разглагольствовать,7
листопадный,7
разлучать,7
запорожец,7
запорожский,7
разуметься,7
заразиться,7
эпир,7
лейцин,7
осуществиться,7
глазеть,7
видоизменить,7
разом,7
разоряться,7
электродвигатель,7
изморозить,7
вырёж,7
Исландия,7
самооценка,7
канун,7
Калининград,7
квинта,7
Капитолий,7
каталаунский,7
каста,7
вторично,7
касательная,7
субстрат,7
иод,7
Екатеринбург,7
тонкость,7
испокон,7
инфузория-туфелька,7
жаждать,7
иранский,7
ошеломить,7
иконоборец,7
поблизости,7
священнодействие,7
терпеливо,7
ринуться,7
Бразилия,7
шпунтик,7
синтез,7
козлиный,7
Кёнигсберг,7
рибосома,7
Болгария,7
Малороссия,7
густо,7
теренция,7
Кобра,7
Вена,7
серин,7
высчитать,7
родосский,7
Килиманджаро,7
Волгоград,7
классика,7
пар,7
рождественский,7
тесый,7
параллельно,7
повторно,7
тикать,7
двусоставный,7
пятиборье,7
малоимущий,7
горесть,7
снегурочка,7
гомеровский,7
смолоду,7
радиотелескоп,7
лье,7
раджа,7
равновеликий,7
умчать,7
раб-педагог,7
унаследовать,7
мардук,7
упрёк,7
Тибет,7
мезолит,7
югурт,7
менелай,7
завистник,7
заальпийский,7
доступно,7
Сша,7
собирательный,7
Таганрог,7
мастерски,7
город-колония,7
матроскин,7
ощетиниться,7
вероучение,7
спасительный,7
лукавый,7
еврипид,6
похлёбка,6
достойно,6
похищать,6
Бурятия,6
юнец,6
стоп-кодон,6
паразитировать,6
паразитизм,6
сиддхартх,6
роковой,6
насквозь,6
дореволюционный,6
розыгрыш,6
сориентировать,6
симбионт,6
подослать,6
штанга,6
нарзан,6
поклонник,6
отплытие,6
колет,6
восторженно,6
пиратство,6
грозно,6
когда-нибудь,6
злоупотребление,6
злодеяние,6
насмерть,6
киш,6
клавиатурный,6
насытиться,6
насытить,6
ломлама,6
достигнутый,6
отслужить,6
вследствие,6
шумно,6
матрона,6
хлороса,6
единовластный,6
анубис,6
десертный,6
наставлять,6
тропосфера,6
пуна,6
всевышний,6
