Слово,Сумма_слов,Нормализованная_частотность
благоприятный,33,27.40101384
благоухание,6,2.28341782
благоухать,5,9.133671279
бледный,22,13.70050692
блестящий,17,2.28341782
близкий,272,2.28341782
близко,43,4.56683564
блюдо,26,2.28341782
блюдце,9,2.28341782
боб,4,2.28341782
бобовый,19,43.38493858
богатство,133,9.133671279
богатый,224,11.4170891
бодяк,3,2.28341782
бой,176,2.28341782
боковой,112,75.35278805
болезнетворный,16,18.26734256
болезнь,87,18.26734256
болеутоляющий,1,2.28341782
болиголов,2,2.28341782
болотистый,9,2.28341782
болотный,19,6.850253459
болото,149,52.51860986
боль,32,2.28341782
больной,70,9.133671279
больший,1025,116.4543088
большинство,228,57.08544549
большой,2011,207.7910216
бор,8,2.28341782
бора,14,4.56683564
бордовый,4,2.28341782
боровинка,1,2.28341782
бороться,84,4.56683564
борьба,330,22.8341782
ботаник,7,4.56683564
ботаника,6,6.850253459
ботанический,6,9.133671279
ботулизм,1,2.28341782
боярышник,7,6.850253459
бояться,95,2.28341782
бриология,1,2.28341782
бриум,1,2.28341782
брожение,3,4.56683564
брокколи,2,2.28341782
бруцеллёз,1,2.28341782
брызги,9,2.28341782
брюссельский,1,2.28341782
бубонный,1,2.28341782
бугорчатый,1,2.28341782
будущее,156,11.4170891
будущий,52,13.70050692
бузина,5,2.28341782
бук,5,6.850253459
буквально,26,2.28341782
букет,19,11.4170891
булавовидный,3,4.56683564
бумага,242,18.26734256
буровато-коричневатый,1,2.28341782
бурый,21,29.68443166
буря,27,4.56683564
бутон,11,6.850253459
бывать,269,54.80202768
бывший,58,2.28341782
быстро,196,47.95177422
быстрый,169,11.4170891
быт,89,2.28341782
вагоностроение,1,2.28341782
важно,114,4.56683564
важный,588,125.5879801
вай,2,4.56683564
вайя,9,20.55076038
вакуоль,21,25.11759602
вакцинация,1,2.28341782
ваниль,2,2.28341782
вар,2,2.28341782
варёный,4,2.28341782
варить,25,2.28341782
василёк,13,4.56683564
вата,4,2.28341782
Вашингтон,6,2.28341782
вбирать,3,2.28341782
введение,35,2.28341782
вверх,74,22.8341782
вдавить,1,2.28341782
вдалеке,10,2.28341782
вдали,39,2.28341782
вдоль,90,6.850253459
вдохновение,17,2.28341782
вегетативно-генеративный,1,2.28341782
вегетативный,41,84.48645933
ведро,36,2.28341782
вееровидный,1,2.28341782
везде,27,2.28341782
вейникнуть,4,4.56683564
век,959,22.8341782
великан,11,2.28341782
великий,1079,18.26734256
Великое,170,4.56683564
великолепный,29,4.56683564
величественно-торжественный,1,2.28341782
величественный,42,4.56683564
величина,706,18.26734256
вельвичие,4,2.28341782
венчик,22,38.81810294
венчиковидный,1,2.28341782
вернуться,140,2.28341782
верный,246,2.28341782
вероятно,54,41.10152076
вероятность,2,2.28341782
вертикально,27,6.850253459
вертикальный,88,15.98392474
верх,26,4.56683564
верхний,165,27.40101384
верховой,3,2.28341782
верхушечный,14,27.40101384
верхушка,36,27.40101384
вершина,481,6.850253459
вершинка,1,2.28341782
вес,90,4.56683564
весенний,58,11.4170891
весить,38,4.56683564
весло,13,4.56683564
весна,210,36.53468512
вести,232,4.56683564
вестись,65,2.28341782
ветвистый,4,2.28341782
ветвиться,5,9.133671279
ветвление,11,11.4170891
ветвь,88,25.11759602
ветер,322,75.35278805
ветерок,18,2.28341782
ветка,65,11.4170891
веточка,9,4.56683564
ветреный,33,2.28341782
ветроопыляемый,10,15.98392474
вечер,151,6.850253459
вечером,23,2.28341782
вечнозелёный,12,15.98392474
вешать,7,2.28341782
вещество,695,611.9559757
вещь,122,2.28341782
взаимный,79,4.56683564
взаимовыгодный,15,4.56683564
взаимодействие,54,2.28341782
взаимодействовать,28,2.28341782
взаимоотношение,72,2.28341782
взаимосвязанный,21,15.98392474
взаимосвязь,28,6.850253459
взвесить,13,4.56683564
вздутый,1,2.28341782
взрослый,123,6.850253459
взять,549,2.28341782
вибрион,3,6.850253459
вид,1751,360.7800155
видеть,467,22.8341782
видимый,27,9.133671279
видно,94,2.28341782
видный,53,4.56683564
видовой,22,13.70050692
видоизменение,6,13.70050692
видоизменить,43,86.76987715
видоизмениться,1,2.28341782
видоизменяться,4,4.56683564
виноград,31,15.98392474
виноградный,6,2.28341782
виноделие,1,2.28341782
винт,5,4.56683564
вирусный,1,2.28341782
висеть,27,2.28341782
витамин,13,25.11759602
виться,7,2.28341782
вишня,30,9.133671279
вклад,101,2.28341782
включать,95,4.56683564
включая,19,4.56683564
вкус,43,4.56683564
вкусный,22,6.850253459
вкусовой,2,4.56683564
влага,60,75.35278805
влаголюбивый,8,4.56683564
влажноватый,1,2.28341782
влажность,54,6.850253459
влажный,57,47.95177422
влияние,260,34.2512673
влиять,122,9.133671279
вместо,240,11.4170891
внесение,6,2.28341782
внести,77,4.56683564
внешний,273,70.78595241
вниз,54,11.4170891
внизу,27,2.28341782
внимание,245,18.26734256
внимательно,79,2.28341782
внимательный,33,2.28341782
вновь,69,2.28341782
вносить,46,4.56683564
внутренний,271,79.91962369
внутри,101,52.51860986
внутриклеточный,2,2.28341782
внутрь,20,13.70050692
вовремя,31,4.56683564
вогнутый,5,2.28341782
вода,1436,408.7317897
водный,96,57.08544549
водоём,93,66.21911677
водозапасающий,2,4.56683564
водоносный,10,2.28341782
водоохранный,1,2.28341782
водопад,14,2.28341782
водопроводянуть,1,2.28341782
водоросль,180,333.3790017
водоснабжение,5,2.28341782
военный,241,2.28341782
возбудитель,9,9.133671279
возвращать,11,2.28341782
возвышаться,30,6.850253459
воздействие,77,41.10152076
возделывать,6,2.28341782
воздух,515,116.4543088
воздухоносный,4,9.133671279
воздушно-капельный,1,2.28341782
воздушный,50,22.8341782
возможно,141,11.4170891
возможность,213,11.4170891
возникать,165,31.96784948
возникновение,86,11.4170891
возникнуть,223,43.38493858
возобновление,6,2.28341782
возобновляться,3,2.28341782
возраст,225,9.133671279
войти,194,2.28341782
вокруг,164,20.55076038
волк,57,2.28341782
волна,81,2.28341782
волнующий,9,2.28341782
волокно,17,13.70050692
волосковый,1,2.28341782
волосок,45,75.35278805
волчий,33,2.28341782
волшебный,50,2.28341782
вороний,10,9.133671279
воронковидный,2,4.56683564
ворота,106,2.28341782
воск,42,2.28341782
восковой,1,2.28341782
восполнить,2,2.28341782
восстанавливать,11,2.28341782
восстановить,81,2.28341782
восток,200,4.56683564
восточноазиатский,2,4.56683564
восточный,377,6.850253459
восхищаться,16,2.28341782
восходящий,15,6.850253459
впервые,121,9.133671279
впечатление,119,2.28341782
впитать,3,2.28341782
впитывать,11,18.26734256
впрок,4,2.28341782
врач,74,2.28341782
вращаться,18,4.56683564
вред,34,13.70050692
вредитель,12,4.56683564
вредный,58,11.4170891
временами,12,2.28341782
время,2537,219.2081107
всасывание,14,20.55076038
всасывательный,2,4.56683564
всасывать,5,2.28341782
всевозможный,16,2.28341782
всесторонне,2,2.28341782
всесторонний,6,2.28341782
вскрываться,2,2.28341782
вслед,44,2.28341782
вспомнить,450,159.8392474
вспыхивать,8,2.28341782
встретить,107,13.70050692
встреча,143,2.28341782
встречаться,268,43.38493858
вступать,26,2.28341782
всход,17,6.850253459
всходить,7,2.28341782
всхожесть,35,57.08544549
второе,89,2.28341782
второй,146,31.96784948
втягивать,1,2.28341782
входить,244,50.23519204
входящий,49,2.28341782
выбор,353,9.133671279
выбрасывать,13,2.28341782
выбрать,432,2.28341782
выведение,1,2.28341782
вывести,24,4.56683564
вывод,269,25.11759602
выводить,22,2.28341782
выглядеть,94,18.26734256
выдающийся,67,4.56683564
выделение,46,11.4170891
выделить,608,6.850253459
выделиться,21,4.56683564
выделять,164,70.78595241
выделяться,117,29.68443166
выдерживать,17,18.26734256
выемка,3,2.28341782
выемчатый,1,2.28341782
выживаемость,1,2.28341782
выживание,22,27.40101384
выживать,26,45.6683564
выжигать,4,2.28341782
вызвать,124,11.4170891
вызревание,1,2.28341782
вызревать,3,6.850253459
вызывать,132,34.2512673
вызываться,1,2.28341782
вызывающий,9,2.28341782
выйти,240,2.28341782
выкручивать,1,2.28341782
вылепить,5,2.28341782
вылет,5,2.28341782
вымереть,12,11.4170891
вымерзание,1,2.28341782
выносить,28,18.26734256
выносливый,9,2.28341782
вынудить,77,2.28341782
вынужденный,13,2.28341782
вынуть,12,2.28341782
выпадать,61,4.56683564
выпаривание,5,2.28341782
выпекать,3,2.28341782
выпекаться,1,2.28341782
выполнение,123,9.133671279
выполнить,762,2.28341782
выполнять,300,89.05329497
выполоть,1,2.28341782
выпрямляться,1,2.28341782
выпуклый,18,6.850253459
вырабатываться,8,2.28341782
выработаться,2,4.56683564
выработка,5,2.28341782
выражаться,114,13.70050692
выражение,1223,2.28341782
выразительный,93,2.28341782
выразить,408,2.28341782
вырастать,36,38.81810294
вырасти,89,15.98392474
вырастить,21,4.56683564
выращивание,28,13.70050692
выращивать,58,34.2512673
выращиваться,14,29.68443166
вырост,19,29.68443166
вырост-зацепка,1,2.28341782
вырост-крылышко,1,2.28341782
вырост-парашютик,1,2.28341782
вырубить,5,2.28341782
вырубка,19,2.28341782
вырывать,4,4.56683564
высадить,3,2.28341782
высаживать,5,11.4170891
высвобождаться,5,2.28341782
высвобождение,1,2.28341782
высевать,8,13.70050692
высказать,48,2.28341782
выскальзывать,1,2.28341782
высокий,515,70.78595241
высоко,43,11.4170891
высокогорный,7,2.28341782
высококалорийный,1,2.28341782
высококачественный,1,2.28341782
высокоорганизованный,3,6.850253459
высокотравие,1,2.28341782
высота,520,25.11759602
высохший,4,2.28341782
выставить,15,2.28341782
выступать,87,2.28341782
высушить,7,2.28341782
высыпаться,2,2.28341782
высыхание,12,11.4170891
высыхать,5,2.28341782
вытекать,18,4.56683564
вытеснить,20,2.28341782
вытесняться,8,2.28341782
вытянутый,11,11.4170891
выхлопной,4,2.28341782
выход,111,2.28341782
выше,228,25.11759602
вышенаходиться,1,2.28341782
вышеуказанный,2,2.28341782
выявить,35,13.70050692
выяснение,4,4.56683564
выяснить,143,4.56683564
вьюнок,2,2.28341782
вьющийся,8,9.133671279
вяз,7,4.56683564
газ,148,116.4543088
Газа,18,4.56683564
газон,5,2.28341782
газообмен,15,20.55076038
галка,5,2.28341782
галобактерия,1,2.28341782
гамета,11,11.4170891
гаметофит,10,22.8341782
Гвинея,3,2.28341782
гвоздик,4,2.28341782
гвоздика,14,2.28341782
гектар,62,4.56683564
генеративный,16,36.53468512
генный,2,2.28341782
гео,4,4.56683564
георгин,5,6.850253459
геотропизм,2,4.56683564
герань,1,2.28341782
гербарный,3,6.850253459
Германия,36,4.56683564
гетеротроф,4,9.133671279
гетеротрофный,6,13.70050692
гиацинт,1,2.28341782
гибель,84,18.26734256
гибкий,11,4.56683564
гибкость,3,2.28341782
гигант,7,2.28341782
гигантский,33,6.850253459
гигиена,4,4.56683564
гинкго,2,4.56683564
гифа,10,20.55076038
главное,210,38.81810294
главный,658,100.4703841
гладкий,31,2.28341782
глаз,273,18.26734256
глазок,20,9.133671279
гликоген,2,2.28341782
глина,33,2.28341782
глинистый,7,9.133671279
глубина,189,38.81810294
глубокий,195,15.98392474
глубоко,31,11.4170891
глубь,16,4.56683564
глюкоза,4,2.28341782
глядеть,68,6.850253459
гнездо,111,6.850253459
гниение,4,2.28341782
гнилой,2,2.28341782
гнилостный,7,13.70050692
говорить,954,6.850253459
год,2490,200.9407681
годичный,10,22.8341782
годность,2,2.28341782
годовой,51,2.28341782
Голландия,5,2.28341782
голо,2,4.56683564
головка,35,18.26734256
головня,4,4.56683564
головчатый,1,2.28341782
голодать,9,2.28341782
голодный,23,2.28341782
голосеменной,52,118.7377266
голубовато-зелёный,1,2.28341782
голубой,47,2.28341782
голый,25,9.133671279
гора,377,25.11759602
гораздо,61,6.850253459
гордость,27,2.28341782
горечь,10,2.28341782
горизонтально,19,4.56683564
горизонтальный,73,2.28341782
горный,194,20.55076038
город,1587,11.4170891
городской,178,4.56683564
горообразование,1,2.28341782
горох,31,45.6683564
горошек,10,9.133671279
горчица,2,2.28341782
горшок,19,2.28341782
горький,27,2.28341782
горячее,7,2.28341782
горячий,66,6.850253459
господствующий,8,4.56683564
готовый,120,6.850253459
гранистый,1,2.28341782
граница,269,6.850253459
Гренландия,11,2.28341782
греча,62,36.53468512
греческий,243,2.28341782
гриб,293,305.9779879
грибковый,3,2.28341782
грибница,30,47.95177422
грибной,12,15.98392474
грибок,3,2.28341782
грибокорень,2,4.56683564
гриб-паразит,5,9.133671279
гроздь,5,2.28341782
громадный,24,2.28341782
грубо,7,4.56683564
грудь,22,2.28341782
груздь,3,2.28341782
грунт,24,6.850253459
грунтовый,24,2.28341782
группа,743,132.4382335
груша,49,6.850253459
грушевидный,3,4.56683564
грушовка,1,2.28341782
грызун,10,4.56683564
грю,1,2.28341782
губительный,8,6.850253459
губка,5,2.28341782
губчатый,3,6.850253459
гусеница,29,2.28341782
гусиный,24,6.850253459
густо,9,4.56683564
густой,68,22.8341782
давать,368,36.53468512
давить,15,2.28341782
давление,117,6.850253459
давний,54,15.98392474
давно,107,22.8341782
давным-давно,11,4.56683564
далёкий,242,15.98392474
дальнейший,99,9.133671279
дальний,82,4.56683564
данные,403,4.56683564
дарлингтония,1,2.28341782
дата,101,6.850253459
дать,993,11.4170891
двигаться,164,13.70050692
движение,368,25.11759602
двойной,71,25.11759602
двудольный,40,84.48645933
двудомный,8,13.70050692
двулетний,4,9.133671279
двулистный,3,4.56683564
двулопастный,1,2.28341782
дезинфицировать,1,2.28341782
дезинфицироваться,1,2.28341782
дезоксирибонуклеиновый,1,2.28341782
действие,776,57.08544549
действительно,94,15.98392474
действовать,224,2.28341782
декоративный,31,31.96784948
делать,460,6.850253459
деление,540,50.23519204
деликатес,1,2.28341782
делиться,539,25.11759602
дело,557,2.28341782
демонстрировать,11,2.28341782
день,1267,43.38493858
деньга,22,2.28341782
деревня,103,2.28341782
дерево,590,184.9568434
деревоподобный,1,2.28341782
деревце,11,2.28341782
деревянистый,3,6.850253459
деревянный,141,4.56683564
держать,132,6.850253459
держаться,42,4.56683564
дерма,1,2.28341782
дернистый,2,4.56683564
десятка,36,4.56683564
десяток,56,4.56683564
десятый,24,2.28341782
детский,136,2.28341782
деятельность,390,29.68443166
джузгун,1,2.28341782
диаметр,193,11.4170891
дикий,72,6.850253459
диковинный,7,2.28341782
дикорастущий,27,57.08544549
диплококк,3,6.850253459
дисковидный,1,2.28341782
дистанция,15,2.28341782
дифтеритный,1,2.28341782
дифтерия,2,2.28341782
длина,1169,47.95177422
длинный,213,52.51860986
длительный,61,29.68443166
днк,1,2.28341782
дно,91,2.28341782
добавляться,2,2.28341782
добиваться,28,2.28341782
добывание,9,2.28341782
добывать,35,2.28341782
добыть,29,2.28341782
доводиться,2,2.28341782
довольно,80,43.38493858
дождевой,22,4.56683564
дождливый,21,4.56683564
дождь,162,27.40101384
дожить,8,2.28341782
доза,2,4.56683564
доказательство,52,4.56683564
доказать,326,13.70050692
доказывать,26,18.26734256
долгий,146,15.98392474
долго,119,34.2512673
должный,610,18.26734256
долина,53,2.28341782
доля,122,6.850253459
дом,649,4.56683564
домашний,110,4.56683564
донный,7,4.56683564
дополнительно,10,2.28341782
дополнительный,183,13.70050692
дорога,384,6.850253459
доставлять,16,4.56683564
достаточно,130,6.850253459
достаточный,26,2.28341782
достигать,90,27.40101384
доступ,26,11.4170891
доступный,40,6.850253459
доходить,12,4.56683564
дочерний,12,2.28341782
доядерный,6,4.56683564
драцена,1,2.28341782
древесина,59,75.35278805
древесный,21,27.40101384
древний,728,63.93569895
древность,101,9.133671279
древовидный,13,27.40101384
дрожжи,10,15.98392474
друг,1266,102.7538019
дуб,84,38.81810294
дубление,1,2.28341782
дубовый,29,2.28341782
дубрава,9,2.28341782
дубравный,1,2.28341782
дугласова,1,2.28341782
дуговой,6,11.4170891
дугообразный,2,4.56683564
думать,587,139.288487
дуновение,4,2.28341782
дупло,24,2.28341782
дурман,1,2.28341782
душистый,30,20.55076038
дыня,12,4.56683564
дырочка,1,2.28341782
дыхание,91,109.6040554
дыхательный,10,4.56683564
дышать,61,13.70050692
дышаться,13,2.28341782
дьявольский,4,2.28341782
Евразия,49,4.56683564
Европа,438,13.70050692
европейский,137,2.28341782
Египет,31,4.56683564
единица,485,43.38493858
единственный,308,4.56683564
единство,120,2.28341782
единый,282,9.133671279
едкий,3,2.28341782
ежевика,3,2.28341782
ежедневно,26,2.28341782
ежовник,1,2.28341782
еловый,42,13.70050692
ёлочка,4,2.28341782
ель,61,29.68443166
ельник,10,4.56683564
естественный,81,18.26734256
естествоиспытатель,2,2.28341782
жара,24,2.28341782
жареный,4,2.28341782
жаркий,38,15.98392474
жаркое,9,2.28341782
жгутик,8,9.133671279
жгутиковый,2,2.28341782
ждать,84,2.28341782
железо,38,4.56683564
желеобразный,1,2.28341782
желтизна,7,2.28341782
желтовато-зеленоватый,1,2.28341782
желтушник,1,2.28341782
жёлтый,87,20.55076038
желудок,11,2.28341782
жёлудь,35,27.40101384
жёлчный,2,4.56683564
женский,178,25.11759602
женьшень,4,2.28341782
жертва,82,4.56683564
жёсткий,27,6.850253459
жёсткость,2,2.28341782
живица,2,4.56683564
живой,415,271.7267206
живописность,2,2.28341782
живописный,25,4.56683564
животное,764,168.9729187
живучий,5,4.56683564
жидкость,20,9.133671279
жизнедеятельность,94,139.288487
жизненный,114,45.6683564
жизнеспособность,1,2.28341782
жизнь,1691,184.9568434
жилище,65,6.850253459
жилка,12,20.55076038
жилкование,18,38.81810294
жилой,27,4.56683564
жир,42,27.40101384
жировой,3,2.28341782
житель,410,2.28341782
жить,805,38.81810294
жук,27,4.56683564
забирать,9,2.28341782
заболачивание,4,4.56683564
заболевание,33,25.11759602
заболевать,5,4.56683564
заболеть,22,2.28341782
заболотить,7,2.28341782
забор,38,9.133671279
забота,43,2.28341782
заботливо,3,2.28341782
забыть,69,4.56683564
завезти,15,4.56683564
завершаться,11,2.28341782
зависеть,230,38.81810294
зависимость,423,43.38493858
завод,79,4.56683564
заводь,2,2.28341782
завоевание,45,4.56683564
завоеватель,60,2.28341782
завоёвывать,3,2.28341782
завозить,2,2.28341782
завязь,34,52.51860986
загадка,35,2.28341782
загадочный,14,9.133671279
загибаться,3,2.28341782
загнить,1,2.28341782
заготавливать,4,4.56683564
заготовка,67,2.28341782
загрязнение,50,4.56683564
загрязнить,18,4.56683564
загрязнять,11,2.28341782
загустить,1,2.28341782
задание,1040,4.56683564
задача,1008,4.56683564
заделка,3,4.56683564
заделывать,5,11.4170891
задерживать,5,2.28341782
задерживаться,4,2.28341782
задуматься,24,2.28341782
задумываться,30,4.56683564
задымление,2,2.28341782
задыхаться,2,2.28341782
заинтересоваться,3,2.28341782
заказник,3,4.56683564
заканчиваться,28,2.28341782
закапывать,1,2.28341782
закладка,7,2.28341782
закладываться,5,2.28341782
заключаться,80,9.133671279
заключение,71,2.28341782
заключить,160,13.70050692
закон,330,2.28341782
закономерность,76,6.850253459
закончиться,74,2.28341782
закрепитель,2,2.28341782
закрепить,33,4.56683564
закрепление,8,6.850253459
закреплять,7,2.28341782
закрепляться,9,4.56683564
закрой,1,2.28341782
закрутить,2,2.28341782
закручиваться,2,2.28341782
закрывание,1,2.28341782
закрываться,11,4.56683564
закрытый,22,4.56683564
закрыть,36,2.28341782
закупоривать,4,4.56683564
залежь,3,4.56683564
заливать,12,2.28341782
заливное,10,2.28341782
залить,15,2.28341782
замачивать,1,2.28341782
замедление,5,4.56683564
замедлиться,1,2.28341782
замедлять,6,2.28341782
замедляться,6,6.850253459
замена,33,2.28341782
заменитель,2,2.28341782
заменять,73,2.28341782
заменяться,14,2.28341782
замерзать,8,2.28341782
заметить,171,9.133671279
заметно,17,2.28341782
заметный,44,20.55076038
замечательный,89,9.133671279
замечать,91,6.850253459
заморозок,6,4.56683564
замочить,1,2.28341782
замыкать,4,4.56683564
замыкаться,4,2.28341782
занести,34,4.56683564
занимательный,18,2.28341782
занимать,231,31.96784948
заниматься,223,9.133671279
занять,117,4.56683564
заострить,4,2.28341782
запас,85,47.95177422
запасание,5,4.56683564
запасать,19,22.8341782
запасаться,6,11.4170891
запасный,18,18.26734256
запах,40,11.4170891
запечатлеться,2,2.28341782
записать,1780,2.28341782
записываться,48,4.56683564
заповедник,18,9.133671279
заполнить,140,11.4170891
заполнять,25,4.56683564
заполняться,5,2.28341782
запоминаться,9,2.28341782
запомнить,137,141.5719048
запрещаться,4,2.28341782
запятая,233,2.28341782
заражение,5,6.850253459
зарастать,4,2.28341782
зарастить,1,2.28341782
зарисовать,4,2.28341782
зародыш,67,73.06937023
зародышевый,23,31.96784948
заросль,38,11.4170891
заросток,4,9.133671279
заселить,30,4.56683564
заселять,9,4.56683564
засорять,3,2.28341782
застывший,7,2.28341782
засуха,10,4.56683564
засушливый,15,15.98392474
затемнить,2,2.28341782
затенённость,1,2.28341782
затенить,4,9.133671279
затенять,6,2.28341782
затонуть,3,2.28341782
затратить,38,4.56683564
захватывать,31,2.28341782
заходить,25,2.28341782
захотеть,33,2.28341782
захотеться,12,2.28341782
зацвести,3,4.56683564
зацветать,7,9.133671279
зацепиться,2,2.28341782
зачаток,15,9.133671279
зачаточный,8,15.98392474
зачахнуть,2,2.28341782
защита,110,13.70050692
защитить,57,31.96784948
защитный,23,18.26734256
защищать,99,43.38493858
заяц,63,9.133671279
звездчатка,1,2.28341782
звено,27,2.28341782
зверёк,21,2.28341782
здоровый,34,2.28341782
здоровье,82,9.133671279
зеленеть,16,2.28341782
зеленовато-белые,1,2.28341782
зеленовато-белый,2,2.28341782
зеленовато-коричневый,1,2.28341782
зеленоватый,3,2.28341782
зелёный,251,162.1226652
земледелие,126,2.28341782
земля,2659,114.170891
земляника,21,15.98392474
земляной,19,4.56683564
земной,259,9.133671279
зеркало,62,2.28341782
зерно,111,25.11759602
зерновка,10,22.8341782
зерновой,11,11.4170891
зерновые,5,4.56683564
зёрнышко,6,2.28341782
зигота,18,4.56683564
зима,154,18.26734256
зимний,107,6.850253459
зимовать,8,2.28341782
зимовка,6,2.28341782
зимой,96,9.133671279
злак,40,59.36886331
злаковый,4,6.850253459
злостный,1,2.28341782
знак,982,2.28341782
знакомиться,29,4.56683564
знакомый,140,22.8341782
знание,296,159.8392474
знать,1032,77.63620587
значение,2410,301.4111522
значит,193,31.96784948
значительно,87,25.11759602
значительный,127,2.28341782
золотисто-жёлтый,1,2.28341782
золотистый,13,4.56683564
золотой,462,4.56683564
зона,123,123.3045623
зонтик,17,25.11759602
зонтиковидный,3,6.850253459
зоология,3,4.56683564
зооспора,1,2.28341782
зрелый,16,6.850253459
зрение,119,2.28341782
зубчатый,6,4.56683564
зубчик,2,2.28341782
зябнуть,1,2.28341782
ива,9,4.56683564
иван-чай,7,6.850253459
ивовый,4,2.28341782
игла,29,2.28341782
игольчатый,2,4.56683564
играть,310,11.4170891
идти,759,13.70050692
избавиться,18,2.28341782
избавлять,3,2.28341782
избавляться,3,2.28341782
избежать,41,6.850253459
избыток,40,9.133671279
избыточный,7,2.28341782
известковый,9,15.98392474
известно,291,20.55076038
известный,563,86.76987715
изгиб,6,2.28341782
изгородь,8,4.56683564
изготавливать,31,4.56683564
изготовление,40,2.28341782
изготовлять,12,2.28341782
издали,10,2.28341782
издать,19,2.28341782
изделие,98,6.850253459
излишек,23,2.28341782
излишний,12,2.28341782
излучение,5,2.28341782
изменение,345,34.2512673
изменить,164,9.133671279
измениться,200,9.133671279
изменчивость,7,11.4170891
изменять,55,11.4170891
изменяться,274,11.4170891
изнутри,4,2.28341782
изображение,382,2.28341782
изобразить,548,6.850253459
изобрести,25,2.28341782
изобретение,47,4.56683564
изогнутый,5,2.28341782
изогнуться,2,2.28341782
израсходоваться,1,2.28341782
изучать,272,57.08544549
изучение,138,31.96784948
изучить,145,38.81810294
изящный,11,2.28341782
илисто-песчаный,1,2.28341782
иллюстрировать,42,6.850253459
именно,275,6.850253459
именоваться,20,2.28341782
иметь,2176,598.2554688
иметься,207,79.91962369
индикатор,2,2.28341782
Индия,66,4.56683564
инженерия,1,2.28341782
инжир,2,2.28341782
иной,189,2.28341782
инструмент,133,2.28341782
